"taxon";"habitat_terrestrial";"habitat_freshwater";"habitat_brackish";"habitat_marine"
"Berberis thunbergii";1;NA;NA;0
"Berberis veitchii";1;NA;NA;0
"Berberis vulgaris";1;0;NA;0
"Berberis wilsoniae";1;NA;NA;0
"Berchemia racemosa";NA;NA;NA;0
"Berchemia scandens";NA;NA;NA;0
"Bergenia ciliata";1;NA;NA;0
"Bergenia crassifolia";1;NA;NA;0
"Bergia ammannioides";1;NA;NA;0
"Bergia capensis";1;NA;NA;0
"Berginus tamarisci";1;NA;NA;0
"Berkheya heterophylla";1;0;NA;0
"Berkheya rigida";1;0;NA;0
"Berlandiera lyrata";1;0;NA;0
"Bernardia sidoides";NA;NA;NA;0
"Beroe cucumis";0;0;0;1
"Beroe ovata";0;0;1;1
"Berrya cordifolia";1;NA;NA;0
"Berrya javanica";1;NA;NA;0
"Berteroa incana";1;NA;NA;0
"Berteroa mutabilis";1;NA;NA;0
"Berthellina citrina";0;0;0;1
"Bertholletia excelsa";NA;NA;NA;0
"Berula erecta";1;NA;NA;0
"Beryx splendens";0;0;0;1
"Beta macrocarpa";1;NA;NA;0
"Beta maritima";1;NA;NA;0
"Beta procumbens";1;NA;NA;0
"Beta trigyna";1;NA;NA;0
"Beta vulgaris";1;0;NA;0
"Beta vulgaris maritima";1;NA;NA;0
"Beta vulgaris subsp. maritima";1;NA;NA;1
"Beta vulgaris vulgaris";1;NA;NA;0
"Bethelium signiferum";NA;NA;NA;0
"Betonica macrantha";1;NA;NA;0
"Betonica officinalis";1;NA;NA;0
"Betta bellica";0;1;0;0
"Betta splendens";0;1;0;0
"Bettongia gaimardi";1;0;0;0
"Betula alleghaniensis";1;NA;NA;0
"Betula caerulea";NA;NA;NA;0
"Betula costata";1;NA;NA;0
"Betula ermanii";1;NA;NA;0
"Betula fruticosa";NA;NA;NA;0
"Betula lenta";1;NA;NA;0
"Betula nana";1;NA;NA;0
"Betula nigra";1;NA;NA;0
"Betula papyrifera";1;NA;NA;0
"Betula pendula";1;NA;NA;0
"Betula pendula pendula";1;NA;NA;0
"Betula populifolia";1;NA;NA;0
"Betula pubescens";1;NA;NA;0
"Betula pubescens pubescens";1;NA;NA;0
"Betula utilis";1;NA;NA;0
"Betulaphis brevipilosa";NA;NA;NA;0
"Betulaphis quadrituberculata";NA;NA;NA;0
"Biancaea decapetala";1;NA;NA;0
"Biancaea sappan";1;NA;NA;0
"Bibio femoralis";1;NA;NA;0
"Bicaularia tongensis";0;0;NA;1
"Biddulphia sinensis";0;0;NA;1
"Bidens alba";1;0;NA;0
"Bidens alba radiata";NA;NA;NA;0
"Bidens amplissima";1;0;NA;0
"Bidens aristosa";1;0;NA;0
"Bidens aristota";1;NA;NA;0
"Bidens aurea";1;0;NA;0
"Bidens beckii";1;0;NA;0
"Bidens bipinnata";1;0;NA;0
"Bidens biternata";1;0;NA;0
"Bidens campylotheca";1;0;NA;0
"Bidens cernua";1;0;NA;0
"Bidens connata";1;0;NA;0
"Bidens cynapiifolia";1;0;NA;0
"Bidens discoidea";1;0;NA;0
"Bidens ferulifolia";1;0;NA;0
"Bidens formosa";1;0;NA;0
"Bidens frondosa";1;0;NA;0
"Bidens gardneri";1;0;NA;0
"Bidens laevis";1;0;NA;0
"Bidens lantanoides";1;0;NA;0
"Bidens madiotii";1;0;NA;0
"Bidens parviflora";1;0;NA;0
"Bidens pilosa";1;0;NA;0
"Bidens pilosa minor";NA;NA;NA;0
"Bidens pilosa pilosa";1;NA;NA;0
"Bidens pilosa radiata";NA;NA;NA;0
"Bidens polycephala";1;0;NA;0
"Bidens polylepis";1;0;NA;0
"Bidens pseudocosmos";1;0;NA;0
"Bidens radiata";1;0;NA;0
"Bidens reptans";1;0;NA;0
"Bidens rubicundula";1;0;NA;0
"Bidens schimperi";1;0;NA;0
"Bidens subalternans";1;0;NA;0
"Bidens tenuisecta";1;0;NA;0
"Bidens trichosperma";1;0;NA;0
"Bidens tripartita";1;0;NA;0
"Bidens tripartita comosa";1;NA;NA;0
"Bidens triplinervia";1;0;NA;0
"Bidens triplinervia macrantha";1;NA;NA;0
"Bidens vulgata";1;0;NA;0
"Bidyanus bidyanus";0;1;0;0
"Bielzia coerulans";1;0;NA;0
"Bifascioides leucomelanella";NA;NA;NA;0
"Biflustra grandicella";0;0;NA;1
"Biflustra savartii";0;0;0;1
"Bifora radians";1;NA;NA;0
"Bifora testiculata";1;NA;NA;0
"Bignonia aequinoctialis";1;NA;NA;0
"Bignonia argyrea";NA;NA;NA;0
"Bignonia binata";1;NA;NA;0
"Bignonia callistegioides";1;NA;NA;0
"Bignonia capreolata";1;NA;NA;0
"Bignonia corymbosa";NA;NA;NA;0
"Bignonia magnifica";1;NA;NA;0
"Billardiera cymosa";NA;NA;NA;0
"Billardiera cymosa pseudocymosa";NA;NA;NA;0
"Billardiera heterophylla";1;NA;NA;0
"Billardiera longiflora";NA;NA;NA;0
"Billbergia pyramidalis";1;NA;NA;NA
"Bilobata subsecivella";NA;NA;NA;0
"Bimastos parvus";1;NA;NA;NA
"Bimastos rubidus";1;NA;NA;NA
"Bimeria vestita";NA;0;0;1
"Biomphalaria camerunensis";0;1;NA;0
"Biomphalaria glabrata";0;1;NA;0
"Biomphalaria straminea";0;1;NA;0
"Biophytum sensitivum";1;NA;NA;0
"Biophytum umbraculum";1;NA;NA;0
"Biosteres longicauda";NA;NA;NA;0
"Bipalium adventitium";1;0;NA;0
"Bipalium kewense";1;0;NA;0
"Bipalium nobile";1;0;NA;0
"Bischofia javanica";1;NA;NA;0
"Biscutella auriculata";1;NA;NA;0
"Biscutella didyma";1;NA;NA;0
"Biscutella laevigata";1;NA;NA;0
"Biscutella lyrata";1;NA;NA;0
"Biserrula pelecinus";1;NA;NA;0
"Bisnius parcus";1;NA;NA;0
"Bisnius sordidus";NA;NA;NA;0
"Bison bison";1;0;0;0
"Bison bonasus";1;0;0;0
"Bispira fabricii";0;0;NA;1
"Bispira polyomma";0;0;NA;1
"Bistolida hirundo";NA;NA;NA;1
"Bistolida hirundo neglecta";0;0;NA;1
"Bistorta affinis";1;NA;NA;0
"Bistorta amplexicaulis";1;NA;NA;0
"Bistorta officinalis";1;NA;NA;0
"Bithynia tentaculata";0;1;0;1
"Bitis gabonica";1;NA;NA;NA
"Bitis nasicornis";1;NA;NA;NA
"Bitis peringueyi";1;NA;NA;NA
"Bitoma crenata";NA;NA;NA;0
"Bitoma siccana";NA;NA;NA;0
"Bituminaria bituminosa";1;NA;NA;0
"Biuve fulvipunctata";0;0;NA;1
"Bivetiella cancellata";NA;0;0;1
"Biwia zezera";0;1;0;0
"Bixa orellana";1;NA;NA;0
"Blaberus atropos";1;NA;NA;0
"Blaberus discoidalis";1;NA;NA;0
"Blaberus giganteus";1;NA;NA;0
"Blaberus parabolicus";1;NA;NA;0
"Blackfordia virginica";0;0;1;1
"Blackstonia imperfoliata";NA;NA;NA;0
"Blackstonia perfoliata";1;0;NA;0
"Blackstonia perfoliata perfoliata";1;NA;NA;0
"Blaesoxipha plinthopyga";NA;NA;NA;0
"Blainvillea acmella";1;0;NA;0
"Blainvillea gayana";1;0;NA;0
"Blaniulus guttulatus";1;0;NA;0
"Blaps gigas";1;NA;NA;0
"Blaps lethifera";1;NA;NA;0
"Blaps mortisaga";1;NA;NA;0
"Blaps mucronata";1;NA;NA;0
"Blaps plana";1;NA;NA;0
"Blapstinus histricus";NA;NA;NA;0
"Blastania cerasiformis";1;NA;NA;0
"Blaste lignicola";NA;NA;NA;0
"Blastobasis adustella";1;NA;NA;0
"Blastobasis decolorella";1;NA;NA;0
"Blastobasis glandulella";1;NA;NA;0
"Blastobasis lacticolella";1;NA;NA;0
"Blastobasis maroccanella";1;NA;NA;0
"Blastobasis rebeli";NA;NA;NA;0
"Blastobasis tarda";1;NA;NA;0
"Blastobasis vittata";1;NA;NA;0
"Blastopsylla occidentalis";NA;NA;NA;0
"Blastothrix sericea";NA;NA;NA;0
"Blatta orientalis";1;NA;NA;0
"Blattella asahinai";1;NA;NA;0
"Blattella germanica";1;0;NA;0
"Blattella vaga";NA;NA;NA;0
"Blechnum appendiculatum";1;NA;NA;NA
"Blechnum occidentale";1;NA;NA;NA
"Bledius dilutipennis";1;NA;NA;0
"Blemus discus";1;NA;NA;0
"Blepharidopterus angulatus";NA;NA;NA;0
"Blepharidopterus chlorionis";NA;NA;NA;0
"Blepharipa schineri";NA;NA;NA;0
"Blepharocysta paulsenii";NA;NA;NA;1
"Bleszynskia malacelloides";NA;NA;NA;0
"Bletilla striata";1;NA;NA;NA
"Blicca bjoerkna";0;1;1;0
"Blighia sapida";1;NA;NA;0
"Blitum atriplicinum";NA;NA;NA;0
"Blitum bonus-henricus";1;NA;NA;0
"Blitum capitatum";1;NA;NA;0
"Blitum nuttallianum";1;NA;NA;0
"Blitum spathulatum";1;NA;NA;0
"Blitum virgatum";1;NA;NA;0
"Blosyrus asellus";NA;NA;NA;0
"Blumea aromatica";1;0;NA;0
"Blumea axillaris";1;0;NA;0
"Blumea balsamifera";1;0;NA;0
"Blumea eriantha";1;0;NA;0
"Blumea lacera";1;0;NA;0
"Blumea manillensis";1;0;NA;0
"Blumea membranacea";1;0;NA;0
"Blumea obliqua";1;0;NA;0
"Blumea sessiliflora";1;0;NA;0
"Blumea sinuata";1;0;NA;0
"Blumenbachia hieronymi";1;NA;NA;0
"Blumenbachia insignis";1;NA;NA;0
"Blumeria graminis";1;1;NA;0
"Blutaparon vermiculare";1;0;NA;0
"Blyxa aubertii";NA;1;NA;NA
"Blyxa echinosperma";NA;1;NA;NA
"Blyxa japonica";NA;1;NA;NA
"Boa constrictor";1;0;1;1
"Boana albomarginata";1;1;NA;0
"Bobilla bivittata";1;NA;NA;0
"Boccardia polybranchia";0;1;0;1
"Boccardia proboscidea";0;0;0;1
"Boccardia pseudonatrix";0;0;NA;1
"Boccardia semibranchiata";0;0;0;1
"Boccardiella hamata";0;0;0;1
"Boccardiella ligerica";1;1;1;1
"Bocchoris onychinalis";NA;NA;NA;0
"Bocconia frutescens";1;NA;NA;0
"Bodianus pulchellus";0;0;0;1
"Boechera divaricarpa";NA;NA;NA;0
"Boeckella triarticulata";0;1;NA;1
"Boehmeria argentea";NA;NA;NA;0
"Boehmeria clidemioides diffusa";NA;NA;NA;0
"Boehmeria cylindrica";1;NA;NA;0
"Boehmeria nivea";1;NA;NA;0
"Boehmeria penduliflora";NA;NA;NA;0
"Boehmeria virgata";1;NA;NA;0
"Boerhaavia diffusa";1;NA;NA;0
"Boerhavia coccinea";1;NA;NA;0
"Boerhavia cordobensis";1;NA;NA;0
"Boerhavia diffusa";1;NA;NA;0
"Boerhavia erecta";1;NA;NA;0
"Boerhavia repens";1;NA;NA;0
"Boesenbergia rotunda";1;NA;NA;NA
"Boettgerilla pallens";1;0;NA;0
"Bogia labronica";NA;0;0;1
"Bohemiellina flavipennis";1;NA;NA;0
"Boiga irregularis";1;0;NA;0
"Bolacothrips striatopennatus";NA;NA;NA;0
"Bolboschoenus glaucus";1;1;NA;NA
"Bolboschoenus maritimus";1;1;NA;NA
"Bolboschoenus planiculmis";1;1;NA;NA
"Bolboschoenus robustus";1;NA;NA;1
"Bolboschoenus yagara";1;1;NA;NA
"Bolinopsis vitrea";0;0;1;1
"Bolinus brandaris";0;0;0;1
"Boloceroides mcmurrichi";0;0;0;1
"Boltonia asteroides";1;0;NA;0
"Boltonia asteroides asteroides";NA;NA;NA;0
"Boltonia asteroides latisquama";NA;NA;NA;0
"Boltonia asteroides recognita";NA;NA;NA;0
"Bolusafra bituminosa";NA;NA;NA;0
"Bolusanthus speciosus";1;NA;NA;0
"Bomarea multiflora";1;NA;NA;NA
"Bombax anceps";1;NA;NA;0
"Bombax ceiba";1;NA;NA;0
"Bombax insigne";1;NA;NA;0
"Bombax oleagineum";1;NA;NA;0
"Bombax rhodognaphalon";NA;NA;NA;0
"Bombina bombina";1;1;NA;0
"Bombina bombina x variegata";NA;NA;NA;0
"Bombina orientalis";1;1;NA;0
"Bombina variegata";1;1;NA;0
"Bombus hortorum";1;NA;NA;0
"Bombus hypnorum";1;NA;NA;0
"Bombus impatiens";1;NA;NA;0
"Bombus lucorum";1;NA;NA;0
"Bombus pascuorum";1;NA;NA;0
"Bombus ruderatus";1;NA;NA;0
"Bombus subterraneus";1;NA;NA;0
"Bombus terrestris";1;NA;NA;0
"Bombycilaena discolor";1;0;NA;0
"Bombycilaena erecta";1;0;NA;0
"Bombycilla garrulus";1;0;0;0
"Bombycilla japonica";1;0;0;0
"Bombyx mori";1;NA;NA;0
"Bonamia exitiosa";0;0;NA;1
"Bonamia ostreae";0;0;NA;1
"Bonamia semidigyna";1;NA;NA;0
"Bonasa umbellus";1;0;0;0
"Bonellia macrocarpa";1;NA;NA;0
"Boninia neotethydis";NA;NA;NA;1
"Bonnaya antipoda";1;NA;NA;0
"Bonnaya ciliata";1;1;NA;0
"Bonnaya ruellioides";1;1;NA;0
"Bonnemaisonia asparagoides";NA;NA;NA;1
"Bonnemaisonia hamifera";NA;0;0;1
"Bonomiella columbae";NA;NA;NA;0
"Bontia daphnoides";1;NA;NA;0
"Boonea bisuturalis";NA;0;1;1
"Boopia notafusca";NA;NA;NA;0
"Borago officinalis";1;NA;NA;0
"Borago pygmaea";1;NA;NA;0
"Borassus flabellifer";1;NA;NA;NA
"Borboropora sulcifrons";1;NA;NA;0
"Boreadinium pisiforme";NA;NA;NA;1
"Boreava aptera";NA;NA;NA;0
"Boreava orientalis";1;NA;NA;0
"Boreioglycaspis melaleucae";NA;NA;NA;0
"Borelis schlumbergeri";NA;NA;NA;1
"Boreoides tasmaniensis";NA;NA;NA;0
"Boreoiulus tenuis";1;0;NA;0
"Borkhausenia nefrax";1;NA;NA;0
"Boronia cymosa";NA;NA;NA;0
"Boronia denticulata";NA;NA;NA;0
"Boronia heterophylla";NA;NA;NA;0
"Boronia ledifolia";NA;NA;NA;0
"Boronia megastigma";NA;NA;NA;0
"Boronia microphylla";NA;NA;NA;0
"Boronia muelleri";NA;NA;NA;0
"Boronia pinnata";NA;NA;NA;0
"Boronia serrulata";NA;NA;NA;0
"Boronia spathulata";NA;NA;NA;0
"Borrichia frutescens";1;0;NA;0
"Borysthenia naticina";0;1;NA;0
"Bos javanicus";1;0;0;0
"Bos taurus";1;0;0;0
"Bosea amherstiana";NA;NA;NA;0
"Boselaphus tragocamelus";1;0;0;0
"Bosmina coregoni";NA;1;1;1
"Bossiaea buxifolia";NA;NA;NA;0
"Bossiaea heterophylla";NA;NA;NA;0
"Bossiaea obcordata";NA;NA;NA;0
"Bossiaea rhombifolia";NA;NA;NA;0
"Bossiaea scolopendria";NA;NA;NA;0
"Bostrichobranchus digonas";0;0;0;1
"Bostrichobranchus pilularis";0;0;NA;1
"Bostrichus capucinus";1;NA;NA;0
"Bostrichus carpophagus";1;NA;NA;0
"Bostrichus cembrae";1;NA;NA;0
"Bostrichus dactyliperda";1;NA;NA;0
"Bostrichus duplicatus";1;NA;NA;0
"Bostrichus jalappae";1;NA;NA;0
"Bostrichus longicollis";1;NA;NA;0
"Bostrichus pfeili";1;NA;NA;0
"Bostrichus piceae";1;NA;NA;0
"Bostrichus saxeseni";1;NA;NA;0
"Bostrycapulus aculeatus";NA;0;0;1
"Bostrycapulus calyptraeformis";NA;0;0;1
"Bostrycapulus odites";NA;0;0;1
"Bostrychia hagedash";1;0;0;0
"Bostrychoplites cornutus";1;NA;NA;0
"Botanophila jacobaeae";NA;NA;NA;0
"Botanophila retusa";1;NA;NA;0
"Botanophila seneciella";NA;NA;NA;0
"Bothrideres bipunctatus";1;NA;NA;0
"Bothriechis schlegelii";1;NA;NA;NA
"Bothriocephalus claviceps";NA;NA;NA;1
"Bothriocephalus cuspidatus";NA;1;NA;NA
"Bothriochloa barbinodis";1;NA;NA;NA
"Bothriochloa bladhii";1;NA;NA;NA
"Bothriochloa decipiens";1;NA;NA;NA
"Bothriochloa insculpta";1;NA;NA;NA
"Bothriochloa ischaemum";1;NA;NA;NA
"Bothriochloa laguroides";1;NA;NA;NA
"Bothriochloa macra";1;NA;NA;NA
"Bothriochloa pertusa";1;NA;NA;NA
"Bothriochloa saccharoides";1;NA;NA;NA
"Bothriophryne fuscicornis";NA;NA;NA;0
"Bothriospermum zeylanicum";1;NA;NA;0
"Botia almorhae";0;1;0;0
"Botia lohachata";0;1;0;0
"Botia striata";0;1;0;0
"Botrychium simplex";1;NA;NA;NA
"Botrylloides anceps";0;0;0;1
"Botrylloides diegensis";0;0;0;1
"Botrylloides giganteum";0;0;NA;1
"Botrylloides leachii";0;0;0;1
"Botrylloides niger";0;0;NA;1
"Botrylloides simodensis";0;0;NA;1
"Botrylloides violaceus";0;0;0;1
"Botryllus perspicuum";0;0;0;1
"Botryllus planus";0;0;0;1
"Botryllus schlosseri";0;0;0;1
"Botryllus tuberatus";0;0;0;1
"Botryocladia madagascariensis";NA;NA;NA;1
"Botryocladia wrightii";NA;NA;NA;1
"Botrytella micromora";NA;NA;NA;1
"Botrytella parva";NA;NA;NA;1
"Bouchea agrestis";1;NA;NA;0
"Bouchea prismatica";NA;NA;NA;0
"Bouea macrophylla";NA;NA;NA;0
"Bouffordia dichotoma";1;NA;NA;0
"Bougainvillea buttiana";1;NA;NA;0
"Bougainvillea glabra";1;NA;NA;0
"Bougainvillea peruviana";1;NA;NA;0
"Bougainvillea spectabilis";1;NA;NA;0
"Bougainvillia macloviana";NA;0;0;1
"Bougainvillia muscus";0;0;0;1
"Bougainvillia rugosa";NA;0;0;1
"Boulengerochromis microlepis";0;1;0;1
"Bouteloua americana";1;NA;NA;NA
"Bouteloua curtipendula";1;NA;NA;NA
"Bouteloua dactyloides";1;NA;NA;NA
"Bouteloua dimorpha";1;NA;NA;NA
"Bouteloua disticha";1;NA;NA;NA
"Bouteloua simplex";1;NA;NA;NA
"Bouvardia candidissima";NA;NA;NA;0
"Bouvardia hybrida";NA;NA;NA;0
"Bouvardia leiantha";NA;NA;NA;0
"Bouvardia longiflora";NA;NA;NA;0
"Bouvardia ternifolia";NA;NA;NA;0
"Boveria teredinidi";0;0;NA;1
"Bovicola alpinus";NA;NA;NA;0
"Bovicola bovis";NA;NA;NA;0
"Bovicola caprae";NA;NA;NA;0
"Bovicola hemitragi";NA;NA;NA;0
"Bovicola limbatus";NA;NA;NA;0
"Bovicola ovis";NA;NA;NA;0
"Bowkeria verticillata";NA;NA;NA;0
"Bowlesia incana";1;NA;NA;0
"Bowlesia tropaeolifolia";NA;NA;NA;0
"Boykinia richardsonii";1;NA;NA;0
"Brachiaria adspersa";1;NA;NA;NA
"Brachiaria advena";1;NA;NA;NA
"Brachiaria arrecta";1;NA;NA;NA
"Brachiaria brizantha";1;NA;NA;NA
"Brachiaria deflexa";1;NA;NA;NA
"Brachiaria dictyoneura";1;NA;NA;NA
"Brachiaria distachya";1;NA;NA;NA
"Brachiaria eminii";1;NA;NA;NA
"Brachiaria eruciformis";1;NA;NA;NA
"Brachiaria fasciculata";1;NA;NA;NA
"Brachiaria jubata";1;NA;NA;NA
"Brachiaria lata";1;NA;NA;NA
"Brachiaria mollis";1;NA;NA;NA
"Brachiaria mutica";1;NA;NA;NA
"Brachiaria nana";1;NA;NA;NA
"Brachiaria oligobrachiata";1;NA;NA;NA
"Brachiaria paucispicata";1;NA;NA;NA
"Brachiaria piligera";1;NA;NA;NA
"Brachiaria plantaginea";1;NA;NA;NA
"Brachiaria platyphylla";1;NA;NA;NA
"Brachiaria ramosa";1;NA;NA;NA
"Brachiaria remota";1;NA;NA;NA
"Brachiaria reptans";1;NA;NA;NA
"Brachiaria umbellata";1;NA;NA;NA
"Brachiaria villosa";1;NA;NA;NA
"Brachidontes exustus";NA;0;0;1
"Brachidontes pharaonis";NA;0;0;1
"Brachidontes striatulus";0;0;0;1
"Brachidontes variabilis";NA;0;1;1
"Brachionus forficula";NA;1;1;NA
"Brachionus plicatilis";NA;1;1;1
"Brachionus variabilis";NA;1;NA;0
"Brachycarenus tigrinus";NA;NA;NA;0
"Brachycaudus amygdalinus";NA;NA;NA;0
"Brachycaudus cardui";NA;NA;NA;0
"Brachycaudus divaricatae";NA;NA;NA;0
"Brachycaudus helichrysi";1;0;NA;0
"Brachycaudus persicae";1;NA;NA;0
"Brachycaudus prunicola";NA;NA;NA;0
"Brachycaudus rumexicolens";NA;NA;NA;0
"Brachycaudus spiraeae";NA;NA;NA;0
"Brachycaudus tragopogonis";NA;NA;NA;0
"Brachycerus undatus";1;NA;NA;0
"Brachychaeteuma bradeae";1;0;NA;0
"Brachychiton acerifolius";1;NA;NA;0
"Brachychiton discolor";1;NA;NA;0
"Brachychiton populneus";1;NA;NA;0
"Brachychiton rupestris";1;NA;NA;0
"Brachycorynella asparagi";NA;NA;NA;0
"Brachyderes incanus";NA;NA;NA;0
"Brachydeutera ibari";NA;NA;NA;0
"Brachydeutera longipes";NA;NA;NA;0
"Brachydeutera sydneyensis";NA;NA;NA;0
"Brachygastra lecheguana";NA;NA;NA;0
"Brachyglottis greyi";1;0;NA;0
"Brachyglottis jubar";1;0;NA;0
"Brachyglottis monroi";1;0;NA;0
"Brachyglottis repanda";1;0;NA;0
"Brachygluta paludosa";1;NA;NA;0
"Brachygobius xanthozonus";0;1;1;0
"Brachyiulus pusillus";1;0;NA;0
"Brachylaena discolor";1;0;NA;0
"Brachylophus fasciatus";1;NA;NA;NA
"Brachymeria agonoxenae";NA;NA;NA;0
"Brachymeria podagrica";NA;NA;NA;0
"Brachymyrmex brevicornis";NA;NA;NA;0
"Brachymyrmex cordemoyi";1;NA;NA;0
"Brachymyrmex heeri";1;NA;NA;0
"Brachymyrmex minutus";NA;NA;NA;0
"Brachymyrmex musculus";NA;NA;NA;0
"Brachymyrmex obscurior";1;NA;NA;0
"Brachymyrmex patagonicus";NA;NA;NA;0
"Brachynotus atlanticus";NA;NA;NA;1
"Brachynotus sexdentatus";NA;0;0;1
"Brachypelma albopilosum";1;NA;NA;NA
"Brachypeplus deyrollei";1;NA;NA;0
"Brachypeplus mauli";NA;NA;NA;0
"Brachypodium distachyon";1;NA;NA;NA
"Brachypodium phoenicoides";1;NA;NA;NA
"Brachypodium pinnatum";1;0;NA;0
"Brachypodium sylvaticum";1;NA;NA;NA
"Brachyponera obscurans";NA;NA;NA;0
"Brachypterolus pulicarius";NA;NA;NA;0
"Brachypterolus vestitus";1;NA;NA;0
"Brachypterum scandens";NA;NA;NA;0
"Brachypteryx montana";1;0;0;0
"Brachyscome diversifolia";1;0;NA;0
"Brachyscome heterodonta";1;0;NA;0
"Brachyscome iberidifolia";1;0;NA;0
"Brachyscome multifida";1;0;NA;0
"Brachyscome perpusilla";1;0;NA;0
"Brachysteles parvicornis";NA;NA;NA;0
"Brachyta interrogationis";1;NA;NA;0
"Brachytrupes membranaceus";NA;NA;NA;0
"Brachyunguis tamaricis";NA;NA;NA;0
"Brachyunguis tamaricophilus";NA;NA;NA;0
"Bracon cajani";NA;NA;NA;0
"Bracon gelechiae";NA;NA;NA;0
"Bracon variegator";NA;NA;NA;0
"Bradburia hirtella";1;0;NA;0
"Bradburia pilosa";1;0;NA;0
"Bradinothrips musae";NA;NA;NA;0
"Bradleystrandesia reticulata";NA;1;NA;NA
"Bradybaena similaris";1;0;NA;0
"Bradycellus harpalinus";1;NA;NA;0
"Bradypodion pumilum";1;NA;NA;NA
"Bradyrrhoa gilveolella";NA;NA;NA;0
"Bradysia difformis";1;NA;NA;0
"Bradysia ocellaris";NA;NA;NA;0
"Bradysia radicum";NA;NA;NA;0
"Brahea edulis";1;NA;NA;NA
"Bramocharax bransfordii";0;1;NA;0
"Branchiodrilus hortensis";0;1;NA;0
"Branchiomma bairdi";NA;0;0;1
"Branchiomma boholense";NA;0;0;1
"Branchiomma bombyx";0;0;0;1
"Branchiomma cingulatum";0;0;NA;1
"Branchiomma coheni";NA;NA;NA;1
"Branchiomma curtum";0;0;NA;1
"Branchiomma luctuosum";NA;NA;NA;1
"Branchiomma nigromaculatum";0;0;NA;1
"Branchiosyllis exilis";0;0;0;1
"Branchiura sowerbyi";0;1;NA;0
"Branta bernicla";1;0;0;0
"Branta canadensis";1;0;0;0
"Branta hutchinsii";1;0;0;0
"Branta hutchinsii minima";1;0;0;0
"Branta leucopsis";1;0;0;0
"Branta ruficollis";1;0;0;0
"Branta sandvicensis";1;0;0;0
"Brasiliopuntia brasiliensis";1;NA;NA;0
"Brasiliopuntia schickendantzii";1;NA;NA;0
"Brassica barrelieri";1;NA;NA;0
"Brassica campestris";NA;NA;NA;0
"Brassica carinata";1;NA;NA;0
"Brassica cretica";1;NA;NA;0
"Brassica deflexa";1;NA;NA;0
"Brassica elongata";1;NA;NA;0
"Brassica elongata elongata";1;NA;NA;0
"Brassica elongata integrifolia";1;NA;NA;0
"Brassica fruticulosa";1;NA;NA;0
"Brassica fruticulosa cossoniana";NA;NA;NA;0
"Brassica juncea";1;NA;NA;0
"Brassica napus";1;0;NA;0
"Brassica napus napobrassica";NA;NA;NA;0
"Brassica napus napus";1;NA;NA;0
"Brassica napus rapifera";1;NA;NA;0
"Brassica nigra";1;NA;NA;0
"Brassica oleracea";1;0;NA;0
"Brassica oleracea botrytis";1;NA;NA;0
"Brassica oleracea capitata";1;NA;NA;0
"Brassica oleracea gongylodes";1;NA;NA;0
"Brassica oleracea sabellica";1;NA;NA;0
"Brassica oxyrrhina";NA;NA;NA;0
"Brassica procumbens";1;NA;NA;0
"Brassica rapa";1;NA;NA;0
"Brassica rapa chinensis";1;NA;NA;0
"Brassica rapa oleifera";1;NA;NA;0
"Brassica rapa rapa";1;NA;NA;0
"Brassica rapa rapifera";NA;NA;NA;0
"Brassica rupestris";1;NA;NA;0
"Brassica tournefortii";1;NA;NA;0
"Brassicogethes aeneus";1;NA;NA;0
"Brassicogethes viridescens";NA;NA;NA;0
"Bratislavia dadayi";0;1;NA;0
"Braula coeca";1;NA;NA;0
"Braula schmitzi";1;NA;NA;0
"Bravaisia integerrima";NA;NA;NA;0
"Braya humilis";NA;NA;NA;0
"Bregmaceros atlanticus";0;0;0;1
"Bregmaceros nectabanus";0;0;0;1
"Bregmatothrips dimorphus";1;NA;NA;0
"Brentus linearis";NA;NA;NA;0
"Brephidium exilis";1;NA;NA;0
"Brephulopsis bidens";1;0;NA;0
"Brephulopsis cylindrica";1;0;NA;0
"Brevennia rehi";NA;NA;NA;0
"Brevibora dorsiocellata";0;1;0;0
"Brevicoryne brassicae";1;NA;NA;0
"Brevipalpus obovatus";1;NA;NA;NA
"Brevipalpus phoenicis";1;NA;NA;NA
"Brevitalitrus hortulanus";1;0;NA;0
"Brexia madagascariensis";1;NA;NA;0
"Breynia androgyna";1;NA;NA;0
"Breynia disticha";1;NA;NA;0
"Breynia retusa";1;NA;NA;0
"Breynia stipitata";1;NA;NA;0
"Brickellia diffusa";1;0;NA;0
"Brickellia grandiflora";1;0;NA;0
"Bridelia insulana";1;NA;NA;0
"Bridelia micrantha";NA;NA;NA;0
"Brigittea civica";1;NA;NA;NA
"Brillantaisia lamium";1;NA;NA;0
"Brillantaisia madagascariensis";NA;NA;NA;0
"Brillantaisia owariensis";1;NA;NA;0
"Brimeura amethystina";1;NA;NA;NA
"Briquetia denudata";1;NA;NA;0
"Briza maxima";1;NA;NA;NA
"Briza media";1;0;NA;0
"Briza minor";1;NA;NA;NA
"Broadleysaurus major";1;NA;NA;NA
"Brodiaea californica";1;NA;NA;NA
"Bromelia karatas";1;NA;NA;NA
"Bromelia pinguin";1;NA;NA;NA
"Bromus alopecuros";1;NA;NA;NA
"Bromus arenarius";1;NA;NA;NA
"Bromus arvensis";1;NA;NA;NA
"Bromus berteroanus";1;NA;NA;NA
"Bromus brachystachys";1;NA;NA;NA
"Bromus brevis";1;NA;NA;NA
